,sampling,evaluations,regression,shapiq_post_processing,total,game_id,id_explain,approximator,budget,n_players,id_config_approximator
0,0.0022780895233154297,0.1370236873626709,0.0020139217376708984,2.6702880859375e-05,0.1413424015045166,california_housing_random_forest,0,PolySHAP-3ADD,83,8,37
0,0.003480672836303711,0.1708676815032959,0.003187894821166992,3.170967102050781e-05,0.1775679588317871,california_housing_random_forest,0,PolySHAP-3ADD,121,8,37
0,0.005632162094116211,0.3120913505554199,0.0039038658142089844,3.337860107421875e-05,0.32166075706481934,california_housing_random_forest,0,PolySHAP-3ADD,176,8,37
0,0.0013613700866699219,0.39653921127319336,0.003429889678955078,3.62396240234375e-05,0.4013667106628418,california_housing_random_forest,0,PolySHAP-3ADD,256,8,37
0,0.0006840229034423828,0.031130313873291016,0.0028557777404785156,2.9802322387695312e-05,0.03469991683959961,california_housing_random_forest,0,PolySHAP-4ADD,9,8,37
0,0.0008473396301269531,0.036145687103271484,0.0031774044036865234,3.147125244140625e-05,0.04020190238952637,california_housing_random_forest,0,PolySHAP-4ADD,13,8,37
0,0.0011010169982910156,0.06227755546569824,0.001981973648071289,3.0040740966796875e-05,0.06539058685302734,california_housing_random_forest,0,PolySHAP-4ADD,18,8,37
0,0.0009913444519042969,0.03811001777648926,0.0018362998962402344,3.743171691894531e-05,0.040975093841552734,california_housing_random_forest,0,PolySHAP-4ADD,27,8,37
0,0.0012764930725097656,0.05242514610290527,0.0020956993103027344,2.9087066650390625e-05,0.055826425552368164,california_housing_random_forest,0,PolySHAP-4ADD,39,8,37
0,0.0019378662109375,0.0847940444946289,0.003362417221069336,3.695487976074219e-05,0.09013128280639648,california_housing_random_forest,0,PolySHAP-4ADD,57,8,37
0,0.0034875869750976562,0.20923972129821777,0.004456520080566406,3.457069396972656e-05,0.21721839904785156,california_housing_random_forest,0,PolySHAP-4ADD,83,8,37
0,0.0051004886627197266,0.23012638092041016,0.005822181701660156,3.886222839355469e-05,0.2410879135131836,california_housing_random_forest,0,PolySHAP-4ADD,121,8,37
0,0.005772113800048828,0.32425570487976074,0.00723719596862793,4.029273986816406e-05,0.33730530738830566,california_housing_random_forest,0,PolySHAP-4ADD,176,8,37
0,0.0013689994812011719,0.4218916893005371,0.008634805679321289,3.8623809814453125e-05,0.431934118270874,california_housing_random_forest,0,PolySHAP-4ADD,256,8,37
