approximator,id_config_approximator,used_budget,n_players,MSE_mean,MSE_q1,MSE_q2,MSE_q3,game_id
PolySHAP-3ADD,39,9117,16,1.556600079746721e-05,9.435737328831578e-06,1.4329961731824398e-05,2.225313854790494e-05,CIFAR-10 ViT16 ($d=16$)
PolySHAP-3ADD,39,20000,16,4.59525754119179e-06,2.4525387437107376e-06,4.230991749399512e-06,5.704058605832158e-06,CIFAR-10 ViT16 ($d=16$)
PolySHAP-3ADD-50%,37,864,16,0.0024821036989207666,0.001018418114491175,0.0017625012242761,0.00262002094747335,CIFAR-10 ViT16 ($d=16$)
PolySHAP-3ADD-50%,37,1895,16,0.00045349904532913287,0.000230349187811075,0.00037360622787135,0.00053893368542965,CIFAR-10 ViT16 ($d=16$)
PolySHAP-3ADD-50%,37,4156,16,9.676748381593689e-05,5.1480688476977965e-05,8.371626352262806e-05,0.000136277178284025,CIFAR-10 ViT16 ($d=16$)
PolySHAP-3ADD-50%,37,9117,16,2.4102756133277943e-05,1.701447814238291e-05,2.162893546277204e-05,2.802755322409539e-05,CIFAR-10 ViT16 ($d=16$)
PolySHAP-3ADD-50%,37,20000,16,6.23295889558066e-06,3.923770081521796e-06,5.453938931756785e-06,7.929637301402594e-06,CIFAR-10 ViT16 ($d=16$)
PolySHAP-3ADD-50%,39,864,16,0.0012810566448172467,0.000738432550048875,0.0012992214955822,0.0015755940987436999,CIFAR-10 ViT16 ($d=16$)
PolySHAP-3ADD-50%,39,1895,16,0.0002820310544725238,0.00017593291552134998,0.00025444421683815,0.000361791202682525,CIFAR-10 ViT16 ($d=16$)
PolySHAP-3ADD-50%,39,4156,16,7.506879292269664e-05,5.2626066871363374e-05,7.06215614313951e-05,9.28823208052212e-05,CIFAR-10 ViT16 ($d=16$)
PolySHAP-3ADD-50%,39,9117,16,2.2181466032617763e-05,1.391056370493515e-05,1.966811356262948e-05,2.7144745074068404e-05,CIFAR-10 ViT16 ($d=16$)
PolySHAP-3ADD-50%,39,20000,16,6.13252479289361e-06,3.394406063420112e-06,5.844882687355798e-06,6.959453222859154e-06,CIFAR-10 ViT16 ($d=16$)
PolySHAP-3ADD-dlog(d),37,864,16,0.0012854081725176332,0.0007753529129192001,0.0011524898345519501,0.0016014828521317,CIFAR-10 ViT16 ($d=16$)
PolySHAP-3ADD-dlog(d),37,1895,16,0.00040936354580176,0.000293899117123525,0.00037326691051545,0.00047604994041739997,CIFAR-10 ViT16 ($d=16$)
PolySHAP-3ADD-dlog(d),37,4156,16,0.00016391539206310303,0.000102279150358775,0.00015492332678145,0.000184895246697925,CIFAR-10 ViT16 ($d=16$)
PolySHAP-3ADD-dlog(d),37,9117,16,3.703116381010079e-05,2.311245988287394e-05,3.291120065598323e-05,3.997173538108911e-05,CIFAR-10 ViT16 ($d=16$)
PolySHAP-3ADD-dlog(d),37,20000,16,1.2414898498906756e-05,7.157047265354392e-06,1.0108134958629208e-05,1.5722873420625822e-05,CIFAR-10 ViT16 ($d=16$)
PolySHAP-3ADD-dlog(d),39,864,16,0.00101575491642829,0.000562393763133725,0.0007989638333266999,0.0012081063974765,CIFAR-10 ViT16 ($d=16$)
